signal_thresh,max_pos,top_k,conf_weight,total_return,sharpe,max_dd,win_rate,avg_pos,avg_alpha,median_alpha,worst_alpha,years_beat_spy,alpha_2011,alpha_2012,alpha_2013,alpha_2014,alpha_2015,alpha_2016,alpha_2017,alpha_2018,alpha_2019,alpha_2020,alpha_2021,alpha_2022,alpha_2023,alpha_2024,alpha_2025
0.525,20,5,True,14.507523342723845,0.9488746961795709,-0.3619418879727171,0.5277289435831868,4.977724741447892,0.06131230605260967,0.05025647018558732,-0.13444743483220872,9,0.09899158425631195,-0.02190359825647667,0.20148478189548352,0.1739443041317489,-0.10832500599477989,0.18957939622156983,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13444743483220872,0.05025647018558732,-0.021684288013002373,0.044766965087241484
0.58,30,5,True,15.449589608735575,0.7449202881487129,-0.5172412209878006,0.5308385933273219,2.940864492177141,0.03425899968805335,0.01723436238197812,-0.37779903215931765,8,-0.37779903215931765,0.39685290491657554,0.3139090913053533,-0.13624162597841746,-0.049422347605526315,0.30715656055032337,0.1545388159283214,0.1313670929068031,-0.007915366639387245,0.07582397373634059,-0.08338155154423826,-0.10007107356860306,0.025787905909498865,-0.15395471481890421,0.01723436238197812
0.525,25,all,True,9.80712981591908,0.9477086752384605,-0.36504726590596237,0.5277787849123189,21.94192521877486,0.04104428636667361,0.02681287402553037,-0.09519087256064328,11,0.07217943334817657,0.02681287402553037,0.053100628688637574,0.11183209436280941,-0.09519087256064328,0.005648696579662382,0.07132126587601448,0.03194686465761782,0.002234612094210664,0.445251031844567,-0.05990624110546411,-0.009792429605850306,-0.0941481884058798,0.023889112236306076,0.030485413464409195
0.525,25,5,True,14.507523342723845,0.9488746961795709,-0.3619418879727171,0.5277289435831868,4.977724741447892,0.06131230605260967,0.05025647018558732,-0.13444743483220872,9,0.09899158425631195,-0.02190359825647667,0.20148478189548352,0.1739443041317489,-0.10832500599477989,0.18957939622156983,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13444743483220872,0.05025647018558732,-0.021684288013002373,0.044766965087241484
0.525,30,all,True,9.808753823590697,0.9493575458739925,-0.35720773116447857,0.5278265216050367,24.934765314240256,0.03518141307166456,0.01756853045926493,-0.11195898219105105,11,0.0647811742829786,0.030657207809243664,0.055970964286391756,0.11006983959008312,-0.0931231794996261,0.003391267622307681,0.07487192475317725,0.01836058979577921,0.01756853045926493,0.4052759250428352,-0.049506959171156606,-0.019678405202329496,-0.11195898219105105,0.013319375057970317,0.007721923439099887
0.525,30,5,True,14.507523342723845,0.9488746961795709,-0.3619418879727171,0.5277289435831868,4.977724741447892,0.06131230605260967,0.05025647018558732,-0.13444743483220872,9,0.09899158425631195,-0.02190359825647667,0.20148478189548352,0.1739443041317489,-0.10832500599477989,0.18957939622156983,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13444743483220872,0.05025647018558732,-0.021684288013002373,0.044766965087241484
0.53,5,all,False,13.775912023357291,0.9518433116941489,-0.3625359515317126,0.527639801313892,4.964996022275258,0.05598126218704415,0.05393433539811449,-0.13038178504850356,10,0.139638964828266,-0.05220040903424125,0.18961715658020922,0.1759588789712793,-0.07973359715670346,0.18839370784648113,0.13961465852014518,0.05393433539811449,-0.06977674618461244,0.23728267152413202,-0.08278310104695624,-0.13038178504850356,0.025123489694305445,0.0272427874924408,0.07778792042130561
0.53,5,all,True,15.148138824633296,0.9564695858882808,-0.361941887972717,0.527639801313892,4.964996022275258,0.06747803052194644,0.06932232848022618,-0.13421761506527702,9,0.09899158425631195,-0.02190359825647667,0.2534738787352904,0.14697984044448256,-0.07747293138985299,0.1886952593972261,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13421761506527702,0.05025647018558732,-0.021684288013002373,0.08203044142723764
0.53,5,5,False,13.775912023357291,0.9518433116941489,-0.3625359515317126,0.527639801313892,4.964996022275258,0.05598126218704415,0.05393433539811449,-0.13038178504850356,10,0.139638964828266,-0.05220040903424125,0.18961715658020922,0.1759588789712793,-0.07973359715670346,0.18839370784648113,0.13961465852014518,0.05393433539811449,-0.06977674618461244,0.23728267152413202,-0.08278310104695624,-0.13038178504850356,0.025123489694305445,0.0272427874924408,0.07778792042130561
0.53,5,5,True,15.148138824633296,0.9564695858882808,-0.361941887972717,0.527639801313892,4.964996022275258,0.06747803052194644,0.06932232848022618,-0.13421761506527702,9,0.09899158425631195,-0.02190359825647667,0.2534738787352904,0.14697984044448256,-0.07747293138985299,0.1886952593972261,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13421761506527702,0.05025647018558732,-0.021684288013002373,0.08203044142723764
