signal_thresh,max_pos,top_k,conf_weight,total_return,sharpe,max_dd,win_rate,n_trades,avg_pos,pct_active
0.5,5,all,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,62.84526042965742
0.5,5,all,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,62.84526042965742
0.5,5,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,62.84526042965742
0.5,5,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,62.84526042965742
0.5,10,all,False,8.316183174275158,0.877132237606174,-0.35480209096679427,0.5270485282418457,37710,10.0,62.84526042965742
0.5,10,all,True,10.115213005415956,0.9182649124717982,-0.35641729491367935,0.5270485282418457,37710,10.0,62.84526042965742
0.5,10,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,62.84526042965742
0.5,10,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,62.84526042965742
0.5,10,10,False,8.316183174275158,0.877132237606174,-0.35480209096679427,0.5270485282418457,37710,10.0,62.84526042965742
0.5,10,10,True,10.115213005415956,0.9182649124717982,-0.35641729491367935,0.5270485282418457,37710,10.0,62.84526042965742
0.5,15,all,False,6.65053797089971,0.8363854346055054,-0.36148001376077343,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,15,all,True,8.633363000149599,0.8999842674061893,-0.3617955883710253,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,15,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,62.84526042965742
0.5,15,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,62.84526042965742
0.5,15,10,False,8.316183174275158,0.877132237606174,-0.35480209096679427,0.5270485282418457,37710,10.0,62.84526042965742
0.5,15,10,True,10.115213005415956,0.9182649124717982,-0.35641729491367935,0.5270485282418457,37710,10.0,62.84526042965742
0.5,15,15,False,6.65053797089971,0.8363854346055054,-0.36148001376077343,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,15,15,True,8.633363000149599,0.8999842674061893,-0.3617955883710253,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,20,all,False,6.132928344954298,0.8219656629987742,-0.3726603585778777,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.5,20,all,True,8.23373643358243,0.899283206316292,-0.37182914904496056,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.5,20,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,62.84526042965742
0.5,20,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,62.84526042965742
0.5,20,10,False,8.316183174275158,0.877132237606174,-0.35480209096679427,0.5270485282418457,37710,10.0,62.84526042965742
0.5,20,10,True,10.115213005415956,0.9182649124717982,-0.35641729491367935,0.5270485282418457,37710,10.0,62.84526042965742
0.5,20,15,False,6.65053797089971,0.8363854346055054,-0.36148001376077343,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,20,15,True,8.633363000149599,0.8999842674061893,-0.3617955883710253,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,20,20,False,6.132928344954298,0.8219656629987742,-0.3726603585778777,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.5,20,20,True,8.23373643358243,0.899283206316292,-0.37182914904496056,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.5,25,all,False,6.655366740765244,0.8592992485023672,-0.36417484292533464,0.5280139454800176,93507,24.796340493237867,62.84526042965742
0.5,25,all,True,8.720811937356155,0.9292421111311149,-0.3650472659059625,0.5280139454800176,93507,24.796340493237867,62.84526042965742
0.5,25,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,62.84526042965742
0.5,25,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,62.84526042965742
0.5,25,10,False,8.316183174275158,0.877132237606174,-0.35480209096679427,0.5270485282418457,37710,10.0,62.84526042965742
0.5,25,10,True,10.115213005415956,0.9182649124717982,-0.35641729491367935,0.5270485282418457,37710,10.0,62.84526042965742
0.5,25,15,False,6.65053797089971,0.8363854346055054,-0.36148001376077343,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,25,15,True,8.633363000149599,0.8999842674061893,-0.3617955883710253,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,25,20,False,6.132928344954298,0.8219656629987742,-0.3726603585778777,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.5,25,20,True,8.23373643358243,0.899283206316292,-0.37182914904496056,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.5,30,all,False,6.824167547479668,0.870345154548613,-0.3538507812720928,0.5275223602373142,111582,29.589498806682577,62.84526042965742
0.5,30,all,True,8.955872632553392,0.9417377284334991,-0.3572077311644787,0.5275223602373142,111582,29.589498806682577,62.84526042965742
0.5,30,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,62.84526042965742
0.5,30,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,62.84526042965742
0.5,30,10,False,8.316183174275158,0.877132237606174,-0.35480209096679427,0.5270485282418457,37710,10.0,62.84526042965742
0.5,30,10,True,10.115213005415956,0.9182649124717982,-0.35641729491367935,0.5270485282418457,37710,10.0,62.84526042965742
0.5,30,15,False,6.65053797089971,0.8363854346055054,-0.36148001376077343,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,30,15,True,8.633363000149599,0.8999842674061893,-0.3617955883710253,0.5269022942687572,56445,14.968178202068417,62.84526042965742
0.5,30,20,False,6.132928344954298,0.8219656629987742,-0.3726603585778777,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.5,30,20,True,8.23373643358243,0.899283206316292,-0.37182914904496056,0.5272497337593184,75120,19.920445505171042,62.84526042965742
0.505,5,all,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,57.98314771236159
0.505,5,all,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,57.98314771236159
0.505,5,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,57.98314771236159
0.505,5,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,57.98314771236159
0.505,10,all,False,8.34501984108463,0.8781662334501948,-0.3548020909667945,0.5272249641776787,37686,9.993635640413684,57.98314771236159
0.505,10,all,True,10.118362801096051,0.9183609000351926,-0.35641729491367924,0.5272249641776787,37686,9.993635640413684,57.98314771236159
0.505,10,5,False,12.14781622345135,0.9181018819599149,-0.36253595153171236,0.5274993370458764,18855,5.0,57.98314771236159
0.505,10,5,True,13.980695752627335,0.9382695837547731,-0.361941887972717,0.5274993370458764,18855,5.0,57.98314771236159
