
============================================================
QUANTUM ALPHA V1 - BACKTEST
============================================================
Symbols: ['FULL']
Period: 2006-01-01 to 2026-01-01
Capital: $10,000
Strategy: enhanced
============================================================

Core sleeve anchored to quant composite: {'QQQ': 0.5, 'IWM': 0.5}
Collecting price data...
  KMPR: 5031 bars
  KNF: 646 bars
  KNSL: 2371 bars
  KNX: 5031 bars
  KO: 5031 bars
  KR: 5031 bars
  KRC: 5031 bars
  KRG: 5031 bars
  KTOS: 5031 bars
  KVUE: 668 bars
  L: 5031 bars
  LAD: 5031 bars
  LAMR: 5031 bars
  LDOS: 4832 bars
  LEA: 4061 bars
  LECO: 5031 bars
  LEN: 5031 bars
  LFUS: 5031 bars
  LH: 5031 bars
  LHX: 5031 bars
  LII: 5031 bars
  LIN: 5031 bars
  LITE: 2627 bars
  LIVN: 2566 bars
  LLY: 5031 bars
  LMT: 5031 bars
  LNT: 5031 bars
  LNTH: 2646 bars
  LOPE: 4304 bars
  LOW: 5031 bars
  LPX: 5031 bars
  LRCX: 5031 bars
  LSCC: 5031 bars
  LSTR: 5031 bars
  LULU: 4638 bars
  LUV: 5031 bars
  LVS: 5031 bars
  LW: 2297 bars
  LYB: 3945 bars
  LYV: 5031 bars
  M: 5031 bars
  MA: 4932 bars
  MAA: 5031 bars
  MANH: 5031 bars
  MAR: 5031 bars
  MAS: 5031 bars
  MASI: 4630 bars
  MAT: 5031 bars
  MCD: 5031 bars
  MCHP: 5031 bars
  MCK: 5031 bars
  MCO: 5031 bars
  MDLZ: 5031 bars
  MDT: 5031 bars
  MEDP: 2361 bars
  MET: 5031 bars
  META: 3425 bars
  MGM: 5031 bars
  MIDD: 5031 bars
  MKC: 5031 bars
  MKSI: 5031 bars
  MLI: 5031 bars
  MLM: 5031 bars
  MMM: 5031 bars
  MMS: 5031 bars
  MNST: 5031 bars
  MO: 5031 bars
  MOH: 5031 bars
  MORN: 5031 bars
  MOS: 5031 bars
  MP: 1390 bars
  MPC: 3652 bars
  MPWR: 5031 bars
  MRK: 5031 bars
  MRNA: 1776 bars
  MRSH: 5031 bars
  MS: 5031 bars
  MSA: 5031 bars
  MSCI: 4560 bars
  MSFT: 5031 bars
  MSI: 5031 bars
  MSM: 5031 bars
  MTB: 5031 bars
  MTCH: 5031 bars
  MTD: 5031 bars
  MTDR: 3499 bars
  MTG: 5031 bars
  MTN: 5031 bars
  MTSI: 3470 bars
  MTZ: 5031 bars
  MU: 5031 bars
  MUR: 5031 bars
  MUSA: 3112 bars
  MZTI: 5031 bars
  NBIX: 5031 bars
  NCLH: 3258 bars
  NDAQ: 5031 bars
  NDSN: 5031 bars
  NEE: 5031 bars
  NEM: 5031 bars
  NEU: 5031 bars
  NFG: 5031 bars
  NFLX: 5031 bars
  NI: 5031 bars
  NJR: 5031 bars
  NKE: 5031 bars
  NLY: 5031 bars
  NNN: 5031 bars
  NOC: 5031 bars
  NOV: 5031 bars
  NOVT: 5031 bars
  NOW: 3396 bars
  NRG: 5031 bars
  NSA: 2691 bars
  NSC: 5031 bars
  NTAP: 5031 bars
  NTNX: 2326 bars
  NTRS: 5031 bars
  NUE: 5031 bars
  NVDA: 5031 bars
  NVR: 5031 bars
  NVST: 1581 bars
  NVT: 1934 bars
  NWE: 4531 bars
  NWS: 3154 bars
  NWSA: 3154 bars
  NXPI: 3875 bars
  NXST: 5031 bars
  NXT: 726 bars
  NYT: 5031 bars
  O: 5031 bars
  OC: 4821 bars
  ODFL: 5031 bars
  OGE: 5031 bars
  OGS: 3008 bars
  OHI: 5031 bars
  OKE: 5031 bars
  OKTA: 2196 bars
  OLED: 5031 bars
  OLLI: 2632 bars
  OLN: 5031 bars
  OMC: 5031 bars
  ON: 5031 bars
  ONB: 5031 bars
  ONTO: 1553 bars
  OPCH: 5031 bars
  ORA: 5031 bars
  ORCL: 5031 bars
  ORI: 5031 bars
  ORLY: 5031 bars
  OSK: 5031 bars
  OTIS: 1455 bars
  OVV: 5031 bars
  OXY: 5031 bars
  OZK: 5031 bars
  PAG: 5031 bars
  PANW: 3382 bars
  PATH: 1181 bars
