date,equity,daily_return
2011-01-04,99609.58100690041,-0.003904189930995927
2011-01-05,99065.77542864742,-0.005459370200696867
2011-01-06,99192.64675286582,0.001280677647446282
2011-01-07,99254.01329508059,0.0006186601953231732
2011-01-10,99793.97587118483,0.005440208996878938
2011-01-11,100636.89820040627,0.008446625378564932
2011-01-12,100847.6829387279,0.002094507502624765
2011-01-13,102210.11944780251,0.013509844444342889
2011-01-14,102522.7805924553,0.0030590038084483233
2011-01-18,101596.19057107663,-0.009037893978529611
2011-01-19,101596.19057107663,0.0
2011-01-20,101799.73679519893,0.0020034828370844478
2011-01-21,102563.22037781533,0.007499858119990679
2011-01-24,102715.80719269275,0.0014877342415275056
2011-01-25,102919.67270243898,0.001984753031865694
2011-01-26,103585.76401435958,0.006471953266373022
2011-01-27,101428.67355922647,-0.02082419795478927
2011-01-28,101665.21420598782,0.002332088535331423
2011-01-31,103618.57840346887,0.019213692832272502
2011-02-01,103257.63589267955,-0.003483376401709393
2011-02-02,103503.04903743076,0.0023767069876193987
2011-02-03,103240.35412983553,-0.002538040280342102
2011-02-04,105801.64033408792,0.024808963760733604
2011-02-07,106655.42493443203,0.008069672621786594
2011-02-08,105670.2775035335,-0.009236730635166168
2011-02-09,104750.84845053098,-0.00870092399418354
2011-02-10,107574.87868552691,0.02695949748158455
2011-02-11,105670.277580407,-0.017704887315630913
2011-02-14,105735.98361944074,0.0006218024645932019
2011-02-15,105407.6134552459,-0.0031055668368935585
2011-02-16,105407.6134552459,0.0
2011-02-17,105407.6134552459,0.0
2011-02-18,102171.2868160277,-0.03070296853454784
2011-02-22,100355.2845787991,-0.01777409577407525
2011-02-23,101291.3199051063,0.009327215106168298
2011-02-24,102417.22972766067,0.011115560776670462
2011-02-25,102569.65270968474,0.0014882552713970654
2011-02-28,100855.66812944756,-0.016710445389617235
2011-03-01,100761.14790326059,-0.0009371830848976972
2011-03-02,102579.45157794288,0.018045682413503527
2011-03-03,102041.97761508079,-0.005239587018592284
2011-03-04,101166.83313308386,-0.008576318319683196
2011-03-07,101796.18438679501,0.00622092472622171
2011-03-08,101438.25713615897,-0.0035161165695171783
2011-03-09,99756.71126903528,-0.016577038235845977
2011-03-10,100451.0176222417,0.006959996419027449
2011-03-11,99851.15583345696,-0.005971684538235423
2011-03-14,99402.6976342707,-0.00449126698076725
2011-03-15,97804.60580066414,-0.016076946316752584
2011-03-16,98753.50004419578,0.00970193822431611
2011-03-17,98640.27743449951,-0.0011465174362994737
2011-03-18,100218.49426002665,0.015999720059335233
2011-03-21,100149.82080945815,-0.0006852373015135527
2011-03-22,100720.99533552765,0.005703200679272413
2011-03-23,101706.30929797901,0.009782607480883599
2011-03-24,101466.72016334142,-0.002355695888400078
2011-03-25,100983.33546306331,-0.004763972852379084
2011-03-28,102408.51281918131,0.014112995471805336
2011-03-29,103179.890045383,0.007532354537397624
2011-03-30,103087.750876722,-0.0008929954143241052
2011-03-31,103761.76318177051,0.0065382385328644895
2011-04-01,103942.27309729849,0.0017396573650330538
2011-04-04,104111.36373905401,0.0016267745231743902
2011-04-05,104791.49805522745,0.006532757729291917
2011-04-06,104766.5282866215,-0.0002382804814260452
2011-04-07,104645.10031217596,-0.0011590340582188219
2011-04-08,104504.51881113418,-0.0013434121676255014
2011-04-11,103571.38795798246,-0.008929095734492876
2011-04-12,103471.26109250313,-0.0009667425285442733
2011-04-13,103368.29906918397,-0.0009950784617103639
2011-04-14,103561.88717694976,0.001872799586614265
2011-04-15,102331.43543809363,-0.011881318237796862
2011-04-18,102746.95377197527,0.004060515051926761
2011-04-19,104228.82971409835,0.01442257787429673
2011-04-20,104643.6081459837,0.003979498119887841
2011-04-21,104618.13986301045,-0.00024338116225622157
2011-04-25,105136.68157269577,0.004956518156070481
2011-04-26,105338.95657893646,0.0019239242024281444
2011-04-27,105774.4787707242,0.004134483632001587
2011-04-28,105959.33990760018,0.0017476913053542376
2011-04-29,106134.79934839593,0.0016559129280038166
2011-05-02,105995.27948611134,-0.0013145534088835123
2011-05-03,105382.53165235715,-0.0057808973826468
2011-05-04,104726.8748715015,-0.00622168371337466
2011-05-05,105250.97304210931,0.005004428626853042
2011-05-06,105803.92050707713,0.00525360905448906
2011-05-09,106478.05979766107,0.006371590838534757
2011-05-10,105523.02680476265,-0.00896929371847364
2011-05-11,106392.43946662045,0.008239080020575785
2011-05-12,105743.43204990246,-0.006100127226818586
2011-05-13,104888.33068847463,-0.008086567126214505
2011-05-16,104692.9407181044,-0.0018628380210429895
2011-05-17,105643.42388154764,0.009078770325140794
2011-05-18,105863.55713490487,0.00208373834611848
2011-05-19,105010.35509640948,-0.008059449933352881
2011-05-20,103393.6986382848,-0.01539520989754237
2011-05-23,103383.12880790987,-0.0001022289608954453
2011-05-24,104150.84158759395,0.00742590003355872
2011-05-25,104309.18384895822,0.001520316676760558
2011-05-26,104773.91055395317,0.004455280808906537
2011-05-27,104773.91055395317,0.0
2011-05-31,102321.69666240823,-0.02340481402841396
2011-06-01,102178.5325873197,-0.0013991565792821348
2011-06-02,100850.12385544789,-0.013000859360909093
2011-06-03,100017.59733657743,-0.00825508672714932
2011-06-06,100369.65916959138,0.0035199989040847874
2011-06-07,99625.7923936408,-0.007411271315504565
2011-06-08,99804.23253663573,0.0017911038768943402
2011-06-09,98163.00611036246,-0.01644445715937764
2011-06-10,98494.4893857611,0.0033768655681342356
2011-06-13,99522.18457245728,0.010434037407627328
