date,model_base,model_best,equal_weight,spy,quant_composite
2011-01-04,-0.003904189930995927,-0.002765523361973465,0.005439294876105599,-0.0005,-0.0005
2011-01-05,-0.005459370200696867,-0.0024021899065701296,-0.0007325099125054013,0.005197983136675077,0.010117655695247918
2011-01-06,0.001280677647446282,0.0001466339279431849,-0.00033527185381820385,-0.0019588343193398527,-0.0007170371722463043
2011-01-07,0.0006186601953231732,-0.004615532886236906,0.001038569374229511,-0.0019624440182448577,-0.0032962120357431512
2011-01-10,0.005440208996878938,0.005039081082213671,0.001216878150918764,-0.0012586000743158854,0.004744898988548685
2011-01-11,0.008446625378564932,0.007948161964304746,0.009194388870800261,0.003544150812040625,0.002739527029706479
2011-01-12,0.002094507502624765,0.0016401242814026778,-0.0005606394011208424,0.00902423511064998,0.007849316774119375
2011-01-13,0.013509844444342889,0.00415692116948776,0.008985727016964947,-0.0016333303006039745,-1.0810052108900514e-05
2011-01-14,0.0030590038084483233,0.006721991673111915,0.002086276868162119,0.007244931659335263,0.007464280350682029
2011-01-18,-0.009037893978529611,-0.004704392357962208,-0.010664153486963507,0.001701597848278169,0.0017761202623326477
2011-01-19,0.0,-0.012325392397120594,0.00016112042668164187,-0.009805624637809096,-0.018527221481058953
2011-01-20,0.0020034828370844478,0.002264348790049553,0.001562708448941324,-0.001325625570148481,-0.008759928722326948
2011-01-21,0.007499858119990679,0.005686617456376553,0.007387492404750842,0.0022641156244611604,-0.007177572552616807
2011-01-24,0.0014877342415275056,0.0005419928347691894,-0.00043428806447596066,0.005686852601836545,0.010606421210306749
2011-01-25,0.001984753031865694,0.003870879765599966,0.0031781685399397733,0.0005422246956272581,0.0014803512202216096
2011-01-26,0.006471953266373022,0.002467702841386199,0.0070143794635679,0.0038708794744715114,0.010614547639798966
2011-01-27,-0.02082419795478927,-0.017462637275457382,-0.018966925426945596,0.002467779502986156,0.004532861577767111
2011-01-28,0.002332088535331423,0.0075165266171097755,0.004480168310850706,-0.017463018808110298,-0.024903654163536626
2011-01-31,0.019213692832272502,0.016008345410227776,0.015649206212559802,0.0075164503120459525,0.00591044764267501
2011-02-01,-0.003483376401709393,-0.0019120838260278106,-0.0015142443393731664,0.016008971143488315,0.02092103429105041
2011-02-02,0.0023767069876193987,0.021376706987619398,0.001310955530915754,-0.0019122357917631394,-0.0026699487589584847
2011-02-03,-0.002538040280342102,-0.002538040280342102,0.004191118383776326,0.0022223760974500184,0.0026401954859538446
2011-02-04,0.024808963760733604,0.024808963760733604,0.0038833243632562593,0.0028289659514422194,0.003681740484526075
2011-02-07,0.008069672621786594,0.008069672621786594,0.0053852677197225975,0.006252372081726465,0.007298460932117168
2011-02-08,-0.009236730635166168,-0.009236730635166168,-0.0010866586156265362,0.004546653376247489,0.00682879477370002
2011-02-09,-0.00870092399418354,-0.00870092399418354,0.0015155408890796414,-0.0022630374413007415,-0.0030775258106687797
2011-02-10,0.02695949748158455,0.02695949748158455,0.0070968325159375765,0.00037835513085138217,0.002755426717278131
2011-02-11,-0.017704887315630913,-0.017704887315630913,0.0022073332395097095,0.005970293246224445,0.009038921612185002
2011-02-14,0.0006218024645932019,0.0006218024645932019,-0.0020304940971191568,0.002403928642017439,0.003756708250200358
2011-02-15,-0.0031055668368935585,-0.0031055668368935585,0.0055285426457450495,-0.0031477719501483703,-0.0035318895725040544
2011-02-16,0.0,0.0,0.0033138683799694736,0.006315648353253378,0.00727098072835497
2011-02-17,0.0,0.0,0.003956216503233324,0.00298805523003165,0.0033379183808802115
2011-02-18,-0.03070296853454784,-0.04063006725534797,-0.022770834367174364,0.00208569707010664,-0.0005637449641607839
2011-02-22,-0.01777409577407525,-0.022861813381314277,-0.008971154543795145,-0.020069636021425308,-0.02731069561258298
2011-02-23,0.009327215106168298,0.01594763176690322,0.004139693369443589,-0.006144618800326018,-0.012740037230642876
2011-02-24,0.011115560776670462,0.008737867168383673,0.010562331061405333,-0.0006868973045142113,0.005847107424280185
2011-02-25,0.0014882552713970654,-0.004435948305763305,0.002860013624266012,0.010693226264977929,0.0185255216538861
2011-02-28,-0.016710445389617235,-0.019028889760375027,-0.01644294201611521,0.006196163224793327,0.001588326744435764
2011-03-01,-0.0009371830848976972,-0.0024003922473639252,0.002311748596936092,-0.016672945889081747,-0.01807712293870639
2011-03-02,0.018045682413503527,0.014973066141828896,0.01853835511112424,0.0021385843159871243,0.004747498524806826
2011-03-03,-0.005239587018592284,-0.003772254105284811,-0.006324264524585526,0.0172243337019502,0.021251922275451585
2011-03-04,-0.008576318319683196,-0.009120857618108857,-0.009133150295858051,-0.0074922679875067955,-0.004748207610232369
2011-03-07,0.00622092472622171,0.000838668248616159,0.007899834909514297,-0.00785087220034919,-0.014915626823436112
2011-03-08,-0.0035161165695171783,-0.005165486654732376,-0.0026903555313449196,0.00874989291226802,0.010150114223093754
2011-03-09,-0.016577038235845977,-0.01725380215793848,-0.01639291956488033,-0.0014330034767447986,-0.005398037729169136
2011-03-10,0.006959996419027449,0.008061124430969359,0.0050754106291013,-0.01850586984707081,-0.020656373918771564
2011-03-11,-0.005971684538235423,-0.005844924552366138,-0.007309519481761685,0.00692613972457079,0.004430315577444777
2011-03-14,-0.00449126698076725,-0.0003352355211973185,-0.01057421667602561,-0.006038132557193654,-0.004451445765842832
2011-03-15,-0.016076946316752584,-0.015291668940335514,-0.018659022993549865,-0.011456991955259177,-0.011557827810528942
2011-03-16,0.00970193822431611,0.01264260808529798,0.011853740086498084,-0.018512688865250815,-0.017071544547267947
