segment,strategy,n_days,total_return,annual_return,sharpe,sortino,max_drawdown
full,model,3781,7.314604664540116,0.15161298992679306,0.8010016138572154,1.0188231278463102,-0.33541219577532233
full,equal_weight,3781,11.408702623471429,0.1827577629121806,1.0483213807908007,1.2804336143360162,-0.3454390348341452
full,spy,3781,6.064885413557006,0.13917917385424317,0.8461940136632019,1.0354191642146613,-0.3371727068439595
full,quant_composite,3781,6.506107477518337,0.1437880370256024,0.765278933228116,0.982699285630447,-0.34529215591550333
old,model,2263,1.6666210783126423,0.11540761625521978,0.7125727346646404,0.8905207686815485,-0.22297989048282718
old,equal_weight,2263,3.783151744857107,0.19039381573480418,1.2489443994042349,1.5597271439101237,-0.1786459557822624
old,spy,2263,2.0347461687435238,0.13158585777273935,0.9366610163625564,1.1665135906434114,-0.19348891257061884
old,quant_composite,2263,2.2283063176298668,0.13940389379978124,0.8535135437406566,1.1159038903462721,-0.24754436612259478
recent,model,1518,2.118030053899268,0.20778055555221608,0.9177992135542525,1.1969030951973476,-0.3354121957753221
recent,equal_weight,1518,1.594252343512498,0.17146495497408254,0.865630231063476,1.0555099792206393,-0.3454390348341452
recent,spy,1518,1.3279987915701468,0.15059382158940426,0.7823160676362898,0.9615938541109682,-0.3371727068439595
recent,quant_composite,1518,1.3250914687145063,0.150355157213927,0.6985059083379759,0.9069505180906718,-0.34529215591550344
very_recent,model,762,0.9717675503987842,0.2517319536667917,1.2627083847980491,1.8568626865762983,-0.13553533985427624
very_recent,equal_weight,762,0.7858403728188712,0.21139713259014448,1.4579838033471757,2.0101780271010803,-0.16225940842357556
very_recent,spy,762,0.8677648042538606,0.2295001821235898,1.430926594748035,1.9267523827658173,-0.1875523767324493
very_recent,quant_composite,762,0.9408260026577977,0.2452015817747233,1.2551377680410516,1.8184542302205877,-0.23708052486817022
