window_id,start,end,winner_annual_return,model_annual_return,equal_weight_annual_return,spy_annual_return,quant_composite_annual_return,model_excess_vs_quant,model_sharpe,equal_weight_sharpe,spy_sharpe,quant_composite_sharpe
1,2012-02-15,2014-02-18,model,0.2592764755652057,0.2557084881138427,0.1921296074600931,0.20891035788363954,0.05036611768156618,1.8139465646623718,1.8473614580549829,1.5035090420087374,1.3925501498437338
2,2012-03-01,2014-03-04,model,0.2698175644758507,0.25971337627961466,0.19482720376683726,0.22151101278736407,0.04830655168848663,1.8753554710577143,1.869700475365504,1.5180284063608618,1.4648390662800976
3,2012-03-26,2014-03-27,model,0.239293206844035,0.22481552031445462,0.17403846891580055,0.17681576090557094,0.06247744593846405,1.7234737014490267,1.661997921979139,1.381927322683873,1.2067108000535727
4,2013-08-19,2015-08-18,equal_weight,0.07995363815889811,0.19528370517007332,0.14739239013561511,0.165299570448193,-0.08534593228929488,0.5991253554055086,1.5729816848250167,1.2828633289625535,1.199837467425749
5,2016-08-19,2018-08-20,equal_weight,0.17612206813490938,0.23057854629304653,0.16477278285441344,0.21967818503706216,-0.043556116902152775,1.3541191646974586,1.9453862999322946,1.497833231734625,1.630317668116663
6,2016-09-16,2018-09-17,equal_weight,0.21209165511742678,0.2581107706420742,0.181937791854756,0.22513686085628648,-0.0130452057388597,1.6124876275519409,2.1908758308409095,1.671150558328148,1.691262148430534
7,2017-11-09,2019-11-11,model,0.1808289800309475,0.16294941261483942,0.11168397141254949,0.1015190948015392,0.0793098852294083,1.1249526348615608,1.0535763981063602,0.7846193266229766,0.6365537563883253
8,2019-07-08,2021-07-06,quant_composite,0.23734986139611958,0.2947979435033192,0.2253729163949576,0.30339804764780776,-0.06604818625168818,0.912386390688138,1.0869157339326045,0.9308509982977025,1.0851790857023813
9,2020-01-31,2022-01-28,equal_weight,0.22281270274611975,0.27028725025104916,0.17992607580356257,0.18878090038751494,0.03403180235860481,0.859386270368684,1.016395083403938,0.777513906308419,0.7471331770687831
10,2021-01-22,2023-01-23,model,0.10842011248506367,0.092410892916865,0.03619253281061008,-0.048883819324244904,0.15730393180930857,0.5842890036078301,0.5576458884903872,0.27977064013311664,-0.08245416270559237
11,2022-03-03,2024-03-05,model,0.14405434609412948,0.112806324746342,0.09312196774090165,0.07261374747597293,0.07144059861815655,0.7947425616600151,0.6704404706889361,0.5671463123635551,0.4177897259055576
12,2023-09-20,2025-09-23,spy,0.16142997784387414,0.21237305060194078,0.2396715485044476,0.2300758046486031,-0.06864582680472897,0.9797509846843696,1.4032777994388217,1.3946969440735095,1.1395723616723714
