candidate,score,signal_threshold,top_k,hold_days,confidence,full_ann_model,full_ann_ew,full_ann_spy,full_ann_quant,full_excess_vs_quant,full_max_drawdown,full_beta_vs_quant,full_information_ratio_vs_quant,constraints_passed,recent_ann_model,recent_ann_ew,recent_ann_spy,recent_ann_quant
40,-99.98338079409237,0.52,10,10,0.0,0.15161298992679306,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.007824952901190674,-0.33541219577532233,-0.060245630824905735,0.026588187091986473,False,0.20778055555221608,0.17146495497408254,0.15059382158940426,0.150355157213927
41,-99.98338079409237,0.52,10,10,0.03,0.15161298992679306,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.007824952901190674,-0.33541219577532233,-0.060245630824905735,0.026588187091986473,False,0.20778055555221608,0.17146495497408254,0.15059382158940426,0.150355157213927
49,-99.99091670587343,0.52,15,10,0.0,0.14929735886718287,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.0055093218415804834,-0.30788939688180705,-0.06025764483950665,0.018895323752014862,False,0.21944450137928362,0.17146495497408254,0.15059382158940426,0.150355157213927
50,-99.99091670587343,0.52,15,10,0.03,0.14929735886718287,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.0055093218415804834,-0.30788939688180705,-0.06025764483950665,0.018895323752014862,False,0.21944450137928362,0.17146495497408254,0.15059382158940426,0.150355157213927
85,-100.01145552324691,0.53,15,10,0.0,0.15612986196400502,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.012341824938402635,-0.30220758991157115,-0.06608108551462966,0.042534376938005485,False,0.20942601869695565,0.17146495497408254,0.15059382158940426,0.150355157213927
86,-100.01145552324691,0.53,15,10,0.03,0.15612986196400502,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.012341824938402635,-0.30220758991157115,-0.06608108551462966,0.042534376938005485,False,0.20942601869695565,0.17146495497408254,0.15059382158940426,0.150355157213927
87,-100.01145552324691,0.53,15,10,0.05,0.15612986196400502,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.012341824938402635,-0.30220758991157115,-0.06608108551462966,0.042534376938005485,False,0.20942601869695565,0.17146495497408254,0.15059382158940426,0.150355157213927
77,-100.01581300942466,0.53,10,10,0.03,0.15181980048226107,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.00803176345665868,-0.33541219577532233,-0.06662238982641909,0.027449936944372,False,0.2004672552901663,0.17146495497408254,0.15059382158940426,0.150355157213927
78,-100.01581300942466,0.53,10,10,0.05,0.15181980048226107,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.00803176345665868,-0.33541219577532233,-0.06662238982641909,0.027449936944372,False,0.2004672552901663,0.17146495497408254,0.15059382158940426,0.150355157213927
76,-100.01581300942466,0.53,10,10,0.0,0.15181980048226107,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.00803176345665868,-0.33541219577532233,-0.06662238982641909,0.027449936944372,False,0.2004672552901663,0.17146495497408254,0.15059382158940426,0.150355157213927
7,-100.1619947423985,0.5,10,15,0.0,0.15368648828510745,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.009898451259505059,-0.3195239624957409,-0.07937239160955564,0.03408312245727327,False,0.11690062498043918,0.17146495497408254,0.15059382158940426,0.150355157213927
58,-100.16279147147581,0.52,20,10,0.0,0.1357683816002051,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.008019655425397287,-0.3202844206919875,-0.06209310709895343,-0.02743080697056916,False,0.19367514994618062,0.17146495497408254,0.15059382158940426,0.150355157213927
68,-100.16279147147581,0.52,25,10,0.03,0.1357683816002051,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.008019655425397287,-0.3202844206919875,-0.06209310709895343,-0.02743080697056916,False,0.19367514994618062,0.17146495497408254,0.15059382158940426,0.150355157213927
67,-100.16279147147581,0.52,25,10,0.0,0.1357683816002051,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.008019655425397287,-0.3202844206919875,-0.06209310709895343,-0.02743080697056916,False,0.19367514994618062,0.17146495497408254,0.15059382158940426,0.150355157213927
59,-100.16279147147581,0.52,20,10,0.03,0.1357683816002051,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.008019655425397287,-0.3202844206919875,-0.06209310709895343,-0.02743080697056916,False,0.19367514994618062,0.17146495497408254,0.15059382158940426,0.150355157213927
4,-100.17271219365577,0.5,10,10,0.0,0.14967550977708055,0.1827577629121806,0.13917917385424317,0.1437880370256024,0.005887472751478162,-0.33541219577532244,-0.08045144684170384,0.019996351303544393,False,0.16368974156958793,0.17146495497408254,0.15059382158940426,0.150355157213927
103,-100.20199006846292,0.53,25,10,0.0,0.14326907158875124,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0005189654368511487,-0.3133452372157437,-0.06893329905107348,-0.0017830308102219819,False,0.17800189111714926,0.17146495497408254,0.15059382158940426,0.150355157213927
104,-100.20199006846292,0.53,25,10,0.03,0.14326907158875124,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0005189654368511487,-0.3133452372157437,-0.06893329905107348,-0.0017830308102219819,False,0.17800189111714926,0.17146495497408254,0.15059382158940426,0.150355157213927
